datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4659.63,ssb,1
hudi,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1668.87,ssb,1
hudi,spark,db10,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,4252.87,ssb,1
hudi,spark,db11,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5597.45,ssb,1
hudi,spark,db14,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2522.05,ssb,1
hudi,spark,db15,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1887.69,ssb,1
hudi,spark,db16,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5741.82,ssb,1
hudi,spark,db17,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1556.5,ssb,1
hudi,spark,db18,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,4084.55,ssb,1
hudi,spark,db19,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2048.06,ssb,1
hudi,spark,db2,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2431.24,ssb,1
hudi,spark,db3,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2236.68,ssb,1
hudi,spark,db5,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2131.81,ssb,1
