datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,tpch_0_q6,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,1824.7,tpch,10
delta,spark,tpch_0_q8,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,7933.41,tpch,10
delta,spark,tpch_0_q9,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,7578.67,tpch,10
delta,spark,tpch_1_q1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,10104.28,tpch,10
delta,spark,tpch_1_q10,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,11343.8,tpch,10
delta,spark,tpch_1_q12,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4837.07,tpch,10
delta,spark,tpch_1_q13,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,1501.04,tpch,10
delta,spark,tpch_1_q16,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4257.68,tpch,10
delta,spark,tpch_1_q17,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,36123.92,tpch,10
delta,spark,tpch_1_q18,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4083.47,tpch,10
