datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpch_0_q19,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,5079.0,tpch,10
iceberg,spark,tpch_0_q2,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,3607.0,tpch,10
iceberg,spark,tpch_0_q2,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,3873.0,tpch,10
iceberg,spark,tpch_0_q2,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,3885.0,tpch,10
iceberg,spark,tpch_0_q2,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,3642.0,tpch,10
iceberg,spark,tpch_0_q2,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,3774.0,tpch,10
iceberg,spark,tpch_0_q2,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,3638.0,tpch,10
iceberg,spark,tpch_0_q2,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,3910.0,tpch,10
iceberg,spark,tpch_0_q2,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,3825.0,tpch,10
iceberg,spark,tpch_0_q2,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,3827.0,tpch,10
iceberg,spark,tpch_0_q2,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,3509.0,tpch,10
iceberg,spark,tpch_0_q20,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,5670.0,tpch,10
iceberg,spark,tpch_0_q20,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,5868.0,tpch,10
iceberg,spark,tpch_0_q20,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,5721.0,tpch,10
iceberg,spark,tpch_0_q20,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,5947.0,tpch,10
iceberg,spark,tpch_0_q20,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,5992.0,tpch,10
iceberg,spark,tpch_0_q20,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,5781.0,tpch,10
iceberg,spark,tpch_0_q20,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,5762.0,tpch,10
iceberg,spark,tpch_0_q20,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,6449.0,tpch,10
iceberg,spark,tpch_0_q20,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,5745.0,tpch,10
iceberg,spark,tpch_0_q20,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,6444.0,tpch,10
iceberg,spark,tpch_0_q21,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,30153.0,tpch,10
iceberg,spark,tpch_0_q21,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,31115.0,tpch,10
iceberg,spark,tpch_0_q21,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,28324.0,tpch,10
iceberg,spark,tpch_0_q21,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,26559.0,tpch,10
iceberg,spark,tpch_0_q21,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,29251.0,tpch,10
iceberg,spark,tpch_0_q21,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,26575.0,tpch,10
iceberg,spark,tpch_0_q21,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,31022.0,tpch,10
iceberg,spark,tpch_0_q21,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,30311.0,tpch,10
iceberg,spark,tpch_0_q21,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,28216.0,tpch,10
iceberg,spark,tpch_0_q21,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,28742.0,tpch,10
iceberg,spark,tpch_0_q22,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,1518.0,tpch,10
iceberg,spark,tpch_0_q22,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,1383.0,tpch,10
