datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,db19,18;256;20;18;16;16,1342.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,756.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1371.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2712.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,475.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,1989.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,609.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2361.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,775.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2343.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1285.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2174.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,1952.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3718.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,978.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1937.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1320.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1496.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1414.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,781.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1086.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1652.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1284.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,983.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1596.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2695.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,426.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2129.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1081.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,3233.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,820.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2518.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1532.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2897.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,1952.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3718.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,978.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1937.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1320.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1496.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1414.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,781.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1086.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1652.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1284.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,983.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1596.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2695.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,426.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2129.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1081.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,3233.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,820.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2518.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1532.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2897.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,1952.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3718.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,978.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1937.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1320.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1496.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1414.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,781.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1086.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1652.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1284.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,983.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1596.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2695.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,426.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2129.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1081.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,3233.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,820.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2518.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1532.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2897.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2997.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3338.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,920.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1998.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1289.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1439.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1398.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,866.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1589.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1722.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1140.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,740.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1352.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,3053.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,405.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2154.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1128.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,3852.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,851.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2955.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1812.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,3121.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2997.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3338.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,920.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1998.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1289.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1439.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1398.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,866.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1589.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1722.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1140.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,740.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1352.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,3053.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,405.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2154.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1128.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,3852.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,851.0,tpch,1
