datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db16,16;200;20;18;18;32;32,1284.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3449.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3197.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3781.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2596.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3784.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,6674.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,821.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3732.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2760.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4489.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2129.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5199.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,5633.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,6046.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,7789.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,5936.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,3026.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,3930.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2921.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3042.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3145.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1463.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3220.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3567.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3923.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2385.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3411.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,7284.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,937.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3595.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2561.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4687.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2165.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5585.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,5919.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,7507.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,6748.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,5180.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,2046.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,4276.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2502.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3239.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3023.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1366.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3421.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3202.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3568.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2332.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3723.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,6850.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,784.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3701.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2457.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4767.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2122.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5006.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,5622.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,6063.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,8149.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,10776.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,7074.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,5480.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,4566.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,7940.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,5837.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,3052.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,5664.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,5250.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,5872.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,7051.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,4798.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,10038.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,1314.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,5012.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2697.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,7591.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2100.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,7430.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,8268.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,8996.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,7063.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,5062.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,2016.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,4810.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2692.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3250.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3295.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1348.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3586.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3541.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3694.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,2623.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3647.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,7686.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,1047.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3567.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2942.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4965.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2235.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5854.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,6729.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,7018.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,6854.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,5957.0,tpch,1
