datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpcds_q2,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,7453.95,tpcds,10
iceberg,spark,tpcds_q22,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,8636.77,tpcds,10
iceberg,spark,tpcds_q23_a,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,7220.01,tpcds,10
iceberg,spark,tpcds_q23_b,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,9467.02,tpcds,10
iceberg,spark,tpcds_q24,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1935.02,tpcds,10
iceberg,spark,tpcds_q24_a,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5501.22,tpcds,10
iceberg,spark,tpcds_q24b,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11834.61,tpcds,10
iceberg,spark,tpcds_q25,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5316.89,tpcds,10
iceberg,spark,tpcds_q26,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4753.25,tpcds,10
iceberg,spark,tpcds_q27,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1500.88,tpcds,10
iceberg,spark,tpcds_q28,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3176.8,tpcds,10
iceberg,spark,tpcds_q33,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3029.05,tpcds,10
iceberg,spark,tpcds_q36,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,7953.87,tpcds,10
iceberg,spark,tpcds_q37,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,9224.19,tpcds,10
iceberg,spark,tpcds_q38,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1917.97,tpcds,10
iceberg,spark,tpcds_q39,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4425.26,tpcds,10
iceberg,spark,tpcds_q39_a,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1679.39,tpcds,10
iceberg,spark,tpcds_q39b,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3787.4,tpcds,10
iceberg,spark,tpcds_q40,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,10690.64,tpcds,10
iceberg,spark,tpcds_q41,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,12137.26,tpcds,10
