datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,query15,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.89,tpcds,1
hudi,trino,query16,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.41,tpcds,1
hudi,trino,query17,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.9,tpcds,1
hudi,trino,query18,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,14.13,tpcds,1
hudi,trino,query19,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.29,tpcds,1
hudi,trino,query2,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.94,tpcds,1
hudi,trino,query20,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.24,tpcds,1
hudi,trino,query21,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.75,tpcds,1
hudi,trino,query22,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.58,tpcds,1
hudi,trino,query23,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.48,tpcds,1
hudi,trino,query23_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,608.41,tpcds,1
hudi,trino,query23_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,638.94,tpcds,1
hudi,trino,query24,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,634.65,tpcds,1
hudi,trino,query24_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,673.2,tpcds,1
hudi,trino,query24_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,582.02,tpcds,1
hudi,trino,query25,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,561.49,tpcds,1
hudi,trino,query26,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,559.34,tpcds,1
hudi,trino,query27,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,587.77,tpcds,1
hudi,trino,query28,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,563.06,tpcds,1
hudi,trino,query29,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,567.4,tpcds,1
hudi,trino,query3,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,582.87,tpcds,1
hudi,trino,query31,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,631.43,tpcds,1
hudi,trino,query32,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,643.22,tpcds,1
hudi,trino,query33,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,603.27,tpcds,1
hudi,trino,query34,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,567.43,tpcds,1
hudi,trino,query35,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,645.45,tpcds,1
hudi,trino,query36,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,663.4,tpcds,1
hudi,trino,query37,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,588.02,tpcds,1
hudi,trino,query38,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,869.52,tpcds,1
