datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_q37,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,1580.0,ssb,10
hudi,spark,ssb_q37,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,1565.0,ssb,10
hudi,spark,ssb_q37,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,1612.0,ssb,10
hudi,spark,ssb_q37,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,1617.0,ssb,10
hudi,spark,ssb_q37,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,1637.0,ssb,10
hudi,spark,ssb_q37,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,1589.0,ssb,10
hudi,spark,ssb_q37,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,1622.0,ssb,10
hudi,spark,ssb_q37,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,2578.0,ssb,10
hudi,spark,ssb_q37,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,1604.0,ssb,10
hudi,spark,ssb_q37,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2426.0,ssb,10
hudi,spark,ssb_q37,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,1634.0,ssb,10
hudi,spark,ssb_q37,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,1618.0,ssb,10
hudi,spark,ssb_q37,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,1731.0,ssb,10
hudi,spark,ssb_q37,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,1632.0,ssb,10
hudi,spark,ssb_q38,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,134.0,ssb,10
hudi,spark,ssb_q38,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,158.0,ssb,10
hudi,spark,ssb_q38,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,138.0,ssb,10
hudi,spark,ssb_q38,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,101.0,ssb,10
hudi,spark,ssb_q38,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,102.0,ssb,10
hudi,spark,ssb_q38,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,113.0,ssb,10
hudi,spark,ssb_q38,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,149.0,ssb,10
hudi,spark,ssb_q38,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,101.0,ssb,10
hudi,spark,ssb_q39,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3393.47,ssb,10
hudi,spark,ssb_q30,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3189.73,ssb,10
hudi,spark,ssb_q35,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3596.21,ssb,10
hudi,spark,ssb_q46,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3465.1,ssb,10
hudi,spark,ssb_q11,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3559.45,ssb,10
hudi,spark,ssb_q22,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3582.48,ssb,10
hudi,spark,ssb_q15,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3251.33,ssb,10
hudi,spark,ssb_q41,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3560.41,ssb,10
hudi,spark,ssb_q31,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3425.83,ssb,10
hudi,spark,ssb_q27,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3509.62,ssb,10
hudi,spark,ssb_q45,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3150.37,ssb,10
hudi,spark,ssb_q29,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3483.74,ssb,10
