datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,ssb_q36,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,13820.07,ssb,10
delta,spark,ssb_q37,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,15812.4,ssb,10
delta,spark,ssb_q38,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1986.05,ssb,10
delta,spark,ssb_q42,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1962.65,ssb,10
delta,spark,ssb_q45,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,1973.4,ssb,10
delta,spark,ssb_q46,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,2127.76,ssb,10
delta,spark,ssb_q48,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=128m,15319.65,ssb,10
delta,spark,ssb_q1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3078.73,ssb,10
delta,spark,ssb_q11,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,14833.95,ssb,10
delta,spark,ssb_q13,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3356.76,ssb,10
