datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,ssb_q38,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,10753.24,ssb,10
iceberg,spark,ssb_q42,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1782.91,ssb,10
iceberg,spark,ssb_q45,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,1525.34,ssb,10
iceberg,spark,ssb_q46,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,11637.3,ssb,10
iceberg,spark,ssb_q48,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,10992.05,ssb,10
iceberg,spark,ssb_q1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2907.83,ssb,10
iceberg,spark,ssb_q11,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2485.33,ssb,10
iceberg,spark,ssb_q13,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4899.71,ssb,10
iceberg,spark,ssb_q14,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3353.79,ssb,10
iceberg,spark,ssb_q17,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4102.43,ssb,10
iceberg,spark,ssb_q19,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,5111.71,ssb,10
iceberg,spark,ssb_q22,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3317.72,ssb,10
iceberg,spark,ssb_q23,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,5178.93,ssb,10
iceberg,spark,ssb_q25,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4220.79,ssb,10
iceberg,spark,ssb_q27,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6195.75,ssb,10
iceberg,spark,ssb_q29,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3502.69,ssb,10
iceberg,spark,ssb_q36,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,5770.49,ssb,10
iceberg,spark,ssb_q37,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4382.52,ssb,10
iceberg,spark,ssb_q38,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4311.75,ssb,10
iceberg,spark,ssb_q42,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2076.42,ssb,10
iceberg,spark,ssb_q45,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3533.48,ssb,10
iceberg,spark,ssb_q46,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4178.87,ssb,10
iceberg,spark,ssb_q48,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4554.11,ssb,10
iceberg,spark,ssb_q1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2408.74,ssb,10
iceberg,spark,ssb_q11,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1580.8,ssb,10
iceberg,spark,ssb_q13,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4849.32,ssb,10
iceberg,spark,ssb_q14,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,7932.48,ssb,10
iceberg,spark,ssb_q17,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,10811.37,ssb,10
iceberg,spark,ssb_q19,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4681.64,ssb,10
iceberg,spark,ssb_q22,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3142.57,ssb,10
