datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,syn_q5,191.3;150.4;17.8;182.7;118.6;45.8;125.0;105.3|140.7;245.2;252.8,25940.99,ssb,100
delta,spark,syn_q5,105.9;42.8;57.1;93.2|162.0;186.8;115.5;276.2;122.4;234.6,31441.29,ssb,100
delta,spark,syn_q6,190.7;10.3;134.9;171.3|40.1;163.6;79.1;152.7;27.4,45750.04,ssb,100
delta,spark,syn_q6,145.2;27.7;185.0;180.5;108.8|143.0;226.9;178.4;156.6;194.8,33642.55,ssb,100
delta,spark,syn_q6,24.2;117.9;92.6;193.2;55.0;59.6;69.9|213.2;223.3;102.2;88.9;31.7;68.8,23883.41,ssb,100
delta,spark,syn_q6,30.7;30.1;95.4;69.7;32.9;78.1;156.4;95.9|86.9;44.8;55.7;209.0;249.7;212.1,26626.75,ssb,100
delta,spark,syn_q6,50.9;172.7;38.2;145.1|124.9;24.2;96.7;247.8;60.4,40462.96,ssb,100
delta,spark,syn_q6,172.4;115.6;114.5;28.0;29.4;160.8;33.1|250.8;294.9;47.9,26506.70,ssb,100
delta,spark,syn_q6,80.7;129.8;132.5;120.6;59.2;164.4;14.1|67.3;197.3;244.7,35214.05,ssb,100
delta,spark,syn_q6,182.0;167.6;73.0;18.1|24.7;278.0;135.6;220.1;153.9;121.0,33454.26,ssb,100
delta,spark,syn_q6,42.8;50.8;45.6;63.2;177.9;16.6;127.6|197.7;154.7;266.0;148.9,27140.51,ssb,100
delta,spark,syn_q6,63.2;36.1;47.9;178.1|192.9;242.6;240.5;296.9,62783.41,ssb,100
delta,spark,syn_q6,101.1;158.5;75.4;117.5;71.1;61.4|102.5;73.5;269.8,39912.25,ssb,100
delta,spark,syn_q6,21.1;198.4;110.6;155.7;199.9;195.1|81.9;79.9;164.8,17974.69,ssb,100
delta,spark,syn_q6,155.2;190.1;119.4;196.7|112.9;253.4;255.1;61.1;181.8;243.8,34898.50,ssb,100
delta,spark,syn_q6,183.7;15.4;143.1;190.0;117.1;117.0|252.6;245.0;291.4;167.2,27057.70,ssb,100
delta,spark,syn_q6,103.2;27.1;54.2;51.6;110.0|106.2;188.1;243.9,42616.33,ssb,100
delta,spark,syn_q7,199.6;98.1;160.4;72.7;170.3;190.8;20.6|30.7;146.3;65.7;254.0;247.0;250.2,38563.70,ssb,100
delta,spark,syn_q7,195.2;145.8;83.1;195.2|223.9;19.7;143.6;233.6,52265.12,ssb,100
delta,spark,syn_q7,136.5;49.6;83.9;192.6;187.9;40.1;148.4;151.5|83.5;195.2;67.6,31940.65,ssb,100
delta,spark,syn_q7,174.1;51.4;31.5;130.3|14.4;240.4;179.6;124.8;80.5,37226.51,ssb,100
delta,spark,syn_q7,120.4;141.2;140.8;39.4|82.1;155.0;208.9,40591.18,ssb,100
delta,spark,syn_q7,186.9;199.4;128.8;21.4;132.5;143.3|46.5;77.5;294.7,29257.66,ssb,100
delta,spark,syn_q7,163.0;93.4;46.7;141.0;78.1;35.6|150.7;136.9;95.5,35294.79,ssb,100
delta,spark,syn_q7,46.1;45.5;76.1;149.2;62.3;168.0;183.8|30.0;55.0;95.7;86.4,33124.90,ssb,100
delta,spark,syn_q7,96.3;157.4;106.1;149.4;177.8;127.7|235.0;79.2;219.1;200.9;166.3,33981.30,ssb,100
delta,spark,syn_q7,46.1;139.8;155.5;39.3;63.8;87.9;71.2|161.7;29.3;252.2,26169.76,ssb,100
delta,spark,syn_q7,43.9;15.9;30.3;46.4;16.0|200.8;162.5;213.4;84.2;116.2;185.7,33243.55,ssb,100
delta,spark,syn_q7,12.5;185.0;134.6;186.4|145.7;195.3;114.7,38317.51,ssb,100
delta,spark,syn_q7,166.2;160.9;21.1;127.2;110.5;149.5;168.5|283.9;288.6;38.2,51001.28,ssb,100
delta,spark,syn_q7,111.0;46.0;110.0;57.3;128.8|171.9;171.9;226.4;232.2,44004.36,ssb,100
delta,spark,syn_q7,78.0;97.2;136.4;177.7;41.7;44.3;86.3;74.1|164.8;184.0;280.7;271.7,62957.65,ssb,100
delta,spark,syn_q8,69.2;78.9;165.2;179.0;123.6;155.1|59.9;98.4;225.9;44.4;47.3,38790.70,ssb,100
delta,spark,syn_q8,140.7;68.4;49.9;196.4;90.7|32.5;234.7;229.6,24175.35,ssb,100
delta,spark,syn_q8,47.3;16.2;135.4;122.7|44.5;83.4;29.2;203.6;228.8;236.9,31168.44,ssb,100
delta,spark,syn_q8,49.0;181.2;45.1;76.8;27.2;170.7;189.0;190.3|112.1;258.0;236.4;187.8;156.4,25376.46,ssb,100
delta,spark,syn_q8,28.8;119.8;12.7;51.2|289.6;59.8;228.7;11.3,21794.72,ssb,100
delta,spark,syn_q8,185.6;184.9;171.7;100.2|137.5;287.7;62.4;112.9,43569.65,ssb,100
delta,spark,syn_q8,90.6;107.7;87.4;154.7;69.7;98.5;108.7|231.1;214.4;171.6;21.8;105.2;43.6,58517.89,ssb,100
delta,spark,syn_q8,96.8;149.9;140.5;169.8;52.9;87.4|64.7;30.2;253.9;147.9;206.9;62.0,21691.86,ssb,100
delta,spark,syn_q8,137.7;85.3;109.3;138.5;32.7;85.0;142.1|225.0;268.8;58.9,39071.70,ssb,100
delta,spark,syn_q8,195.3;74.3;123.0;198.2;33.3;169.2|90.8;216.9;178.8;89.2;239.0;196.7,27148.31,ssb,100
delta,spark,syn_q8,77.7;136.7;190.5;197.6;107.2;38.0;96.4|82.7;154.2;192.2,28513.28,ssb,100
delta,spark,syn_q8,15.6;150.2;167.8;104.6;15.1|121.0;207.0;54.3;190.4,27626.88,ssb,100
delta,spark,syn_q8,154.4;135.6;108.8;103.5|68.6;202.0;152.2;85.9;109.6;259.3,25465.14,ssb,100
delta,spark,syn_q8,13.4;155.2;198.2;177.2;32.6;95.5;172.0;94.1|19.5;171.4;259.5,33483.88,ssb,100
delta,spark,syn_q8,178.1;41.2;91.8;69.4;83.9;155.2|201.4;208.8;175.9;148.0;257.8;156.9,25718.81,ssb,100
delta,spark,syn_q9,179.6;111.1;94.0;19.1|123.3;99.4;25.2,19861.20,ssb,100
delta,spark,syn_q9,19.2;81.7;48.3;57.4|68.0;14.7;18.1;14.2,52215.15,ssb,100
delta,spark,syn_q9,139.2;22.0;192.2;28.4;168.7|220.0;22.8;158.6;246.5,31472.22,ssb,100
delta,spark,syn_q9,116.8;46.0;49.4;112.9;188.4;33.0|40.7;103.8;14.3;199.7,29033.29,ssb,100
delta,spark,syn_q9,83.9;97.2;22.5;164.9|22.7;266.8;129.2;232.6;154.9,24358.39,ssb,100
