datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,job_13c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,2883.0,job,10
hudi,spark,job_13c,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,3123.0,job,10
hudi,spark,job_13c,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3081.0,job,10
hudi,spark,job_13c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,2847.0,job,10
hudi,spark,job_13c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2889.0,job,10
hudi,spark,job_13c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2946.0,job,10
hudi,spark,job_13c,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3052.0,job,10
hudi,spark,job_13c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,3179.0,job,10
hudi,spark,job_13c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2876.0,job,10
hudi,spark,job_13c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2915.0,job,10
hudi,spark,job_13c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3342.0,job,10
hudi,spark,job_13c,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,2887.0,job,10
hudi,spark,job_13c,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2838.0,job,10
hudi,spark,job_13d,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,2845.0,job,10
hudi,spark,job_13d,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3479.0,job,10
hudi,spark,job_13d,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,3858.0,job,10
hudi,spark,job_13d,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3021.0,job,10
hudi,spark,job_13d,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3805.0,job,10
hudi,spark,job_13d,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2914.0,job,10
hudi,spark,job_13d,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2838.0,job,10
