query_id,engine_id,lake_id,config,latency
tpch_gpt_q10,0,1,0.5070057451761;0.1416419186938;513.0;1.0;40.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0,3637.975571
tpch_gpt_q10,1,0,20.0;18.0;16.0;18.0;32.0;32.0;200.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,4088.0
tpch_gpt_q10,1,0,103.0;14.0;20.0;36.0;256.0;237.0;280.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,1663.0
tpch_gpt_q10,1,0,60.0;17.0;28.0;17.0;16.0;103.0;156.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,1164.0
tpch_gpt_q10,1,0,8.0;17.0;20.0;17.0;32.0;198.0;173.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,4131.0
tpch_gpt_q10,1,0,28.0;9.0;18.0;9.0;256.0;169.0;224.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,1541.0
tpch_gpt_q10,1,0,80.0;22.0;18.0;22.0;32.0;96.0;217.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,988.0
tpch_gpt_q10,1,0,99.0;28.0;24.0;28.0;64.0;10.0;212.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,2357.0
tpch_gpt_q10,1,0,79.0;31.0;25.0;31.0;64.0;11.0;214.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,1674.0
tpch_gpt_q10,1,0,64.0;18.0;17.0;18.0;256.0;185.0;271.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0,1705.0
tpch_gpt_q10,1,1,20.0;18.0;16.0;18.0;32.0;32.0;200.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3088.0
tpch_gpt_q10,1,1,103.0;14.0;20.0;36.0;256.0;237.0;280.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,4251.0
tpch_gpt_q10,1,1,60.0;17.0;28.0;17.0;16.0;103.0;156.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3918.0
tpch_gpt_q10,1,1,8.0;17.0;20.0;17.0;32.0;198.0;173.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3636.0
tpch_gpt_q10,1,1,28.0;9.0;18.0;9.0;256.0;169.0;224.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3846.0
tpch_gpt_q10,1,1,80.0;22.0;18.0;22.0;32.0;96.0;217.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3403.0
tpch_gpt_q10,1,1,99.0;28.0;24.0;28.0;64.0;10.0;212.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3975.0
tpch_gpt_q10,1,1,79.0;31.0;25.0;31.0;64.0;11.0;214.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,5314.0
tpch_gpt_q10,1,1,64.0;18.0;17.0;18.0;256.0;185.0;271.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3994.0
tpch_gpt_q10,1,2,20.0;18.0;16.0;18.0;32.0;32.0;200.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,829.0
tpch_gpt_q10,1,2,103.0;14.0;20.0;36.0;256.0;237.0;280.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,1890.0
tpch_gpt_q10,1,2,60.0;17.0;28.0;17.0;16.0;103.0;156.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,728.0
tpch_gpt_q10,1,2,8.0;17.0;20.0;17.0;32.0;198.0;173.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,2003.0
tpch_gpt_q10,1,2,28.0;9.0;18.0;9.0;256.0;169.0;224.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,2049.0
tpch_gpt_q10,1,2,80.0;22.0;18.0;22.0;32.0;96.0;217.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,1973.0
tpch_gpt_q10,1,2,99.0;28.0;24.0;28.0;64.0;10.0;212.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,1831.0
tpch_gpt_q10,1,2,79.0;31.0;25.0;31.0;64.0;11.0;214.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,1912.0
tpch_gpt_q10,1,2,64.0;18.0;17.0;18.0;256.0;185.0;271.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0,2024.0
tpch_gpt_q10,2,0,1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0,801.0
tpch_gpt_q10,2,1,1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0,1198.0
