datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,q2_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,177.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,179.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,182.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,1.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,178.0,ssb-flat,1
