datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,ssb_flat_q_02,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1849.78,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,15678.79,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,11270.66,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1992.32,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2360.47,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,6310.62,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,10550.1,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1973.32,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,11783.78,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2106.42,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3584.64,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2958.38,ssb-flat,10
