datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_08,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,3057.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,2364.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,1631.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,2153.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,2575.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,2297.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,2396.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,2380.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,1365.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,1437.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,2823.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,1324.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,1979.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,583.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1070.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,717.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,787.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,637.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,973.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,727.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,1253.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,734.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,672.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,750.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,745.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,819.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,1079.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,866.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,672.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,718.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,1082.0,ssb-flat,10
hudi,trino,ssb_flat_q_09,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,652.0,ssb-flat,10
