datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_flat_q_06,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,7531.77,ssb-flat,10
hudi,spark,ssb_flat_q_07,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3699.97,ssb-flat,10
hudi,spark,ssb_flat_q_08,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2200.66,ssb-flat,10
hudi,spark,ssb_flat_q_11,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2871.65,ssb-flat,10
hudi,spark,ssb_flat_q_12,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4610.6,ssb-flat,10
hudi,spark,ssb_flat_q_14,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3911.69,ssb-flat,10
hudi,spark,ssb_flat_q_21,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2736.72,ssb-flat,10
hudi,spark,ssb_flat_q_22,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3925.93,ssb-flat,10
hudi,spark,ssb_flat_q_25,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4044.8,ssb-flat,10
hudi,spark,ssb_flat_q_26,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2862.61,ssb-flat,10
hudi,spark,ssb_flat_q_27,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4118.2,ssb-flat,10
hudi,spark,ssb_flat_queries,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3410.89,ssb-flat,10
hudi,spark,ssb_flat_q_01,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3098.84,ssb-flat,10
hudi,spark,ssb_flat_q_02,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2085.85,ssb-flat,10
hudi,spark,ssb_flat_q_03,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3216.1,ssb-flat,10
hudi,spark,ssb_flat_q_04,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2958.98,ssb-flat,10
hudi,spark,ssb_flat_q_06,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5787.77,ssb-flat,10
hudi,spark,ssb_flat_q_07,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3810.39,ssb-flat,10
hudi,spark,ssb_flat_q_08,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2586.59,ssb-flat,10
hudi,spark,ssb_flat_q_11,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5357.03,ssb-flat,10
hudi,spark,ssb_flat_q_12,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5345.6,ssb-flat,10
hudi,spark,ssb_flat_q_14,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,6019.57,ssb-flat,10
hudi,spark,ssb_flat_q_21,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2344.9,ssb-flat,10
hudi,spark,ssb_flat_q_22,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2178.24,ssb-flat,10
hudi,spark,ssb_flat_q_25,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3980.92,ssb-flat,10
hudi,spark,ssb_flat_q_26,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2681.81,ssb-flat,10
hudi,spark,ssb_flat_q_27,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3225.69,ssb-flat,10
hudi,spark,ssb_flat_queries,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5842.9,ssb-flat,10
hudi,spark,ssb_flat_q_01,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2430.73,ssb-flat,10
hudi,spark,ssb_flat_q_02,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1501.1,ssb-flat,10
hudi,spark,ssb_flat_q_03,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1501.1,ssb-flat,10
hudi,spark,ssb_flat_q_04,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3222.83,ssb-flat,10
hudi,spark,ssb_flat_q_06,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5180.13,ssb-flat,10
hudi,spark,ssb_flat_q_07,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3533.58,ssb-flat,10
hudi,spark,ssb_flat_q_08,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3029.49,ssb-flat,10
hudi,spark,ssb_flat_q_11,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,8354.65,ssb-flat,10
hudi,spark,ssb_flat_q_12,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,5531.32,ssb-flat,10
hudi,spark,ssb_flat_q_14,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1647.39,ssb-flat,10
hudi,spark,ssb_flat_q_21,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1501.1,ssb-flat,10
hudi,spark,ssb_flat_q_22,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1629.96,ssb-flat,10
hudi,spark,ssb_flat_q_25,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4824.29,ssb-flat,10
hudi,spark,ssb_flat_q_26,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1504.52,ssb-flat,10
hudi,spark,ssb_flat_q_27,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3759.82,ssb-flat,10
hudi,spark,ssb_flat_queries,spark.executor.memory=4g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,9945.55,ssb-flat,10
hudi,spark,ssb_flat_q_01,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4378.83,ssb-flat,10
hudi,spark,ssb_flat_q_02,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3800.93,ssb-flat,10
hudi,spark,ssb_flat_q_03,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4513.33,ssb-flat,10
hudi,spark,ssb_flat_q_04,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1797.82,ssb-flat,10
hudi,spark,ssb_flat_q_06,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1583.32,ssb-flat,10
hudi,spark,ssb_flat_q_07,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3204.6,ssb-flat,10
hudi,spark,ssb_flat_q_08,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,5609.46,ssb-flat,10
hudi,spark,ssb_flat_q_11,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,9454.18,ssb-flat,10
hudi,spark,ssb_flat_q_12,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3875.56,ssb-flat,10
hudi,spark,ssb_flat_q_14,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,6034.55,ssb-flat,10
hudi,spark,ssb_flat_q_21,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3634.81,ssb-flat,10
hudi,spark,ssb_flat_q_22,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2025.57,ssb-flat,10
