datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,q2_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,60398.75,ssb-flat,100
hudi,presto,q3_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,13264.59,ssb-flat,100
hudi,presto,q3_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,9727.95,ssb-flat,100
hudi,presto,q3_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,9098.3,ssb-flat,100
hudi,presto,q3_4,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,78137.47,ssb-flat,100
hudi,presto,q4_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,9617.33,ssb-flat,100
hudi,presto,q4_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,87721.35,ssb-flat,100
hudi,presto,q4_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=16,10828.71,ssb-flat,100
hudi,presto,q1_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,56852.75,ssb-flat,100
hudi,presto,q1_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,8931.14,ssb-flat,100
hudi,presto,q1_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,55918.83,ssb-flat,100
hudi,presto,q2_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,74104.06,ssb-flat,100
hudi,presto,q2_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,33412.98,ssb-flat,100
hudi,presto,q2_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,62829.57,ssb-flat,100
hudi,presto,q3_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,70072.98,ssb-flat,100
hudi,presto,q3_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,9365.15,ssb-flat,100
hudi,presto,q3_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,27144.27,ssb-flat,100
hudi,presto,q3_4,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,49296.42,ssb-flat,100
hudi,presto,q4_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,18121.03,ssb-flat,100
hudi,presto,q4_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,89527.15,ssb-flat,100
hudi,presto,q4_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=32,27679.58,ssb-flat,100
hudi,presto,q1_1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,7396.5,ssb-flat,100
